Project,Name,Revisions,Editors,Words,References
de.wikipedia.org,"Cale_Kalay",33,11,226,7
de.wikipedia.org,"Hundsbach_(Waldsassen)",35,30,39,0
de.wikipedia.org,"Wolfhagen",838,369,3894,84
de.wikipedia.org,"Kvitka_Cisyk",18,9,323,5
de.wikipedia.org,"Tom_Steyer",22,12,242,5
de.wikipedia.org,"Joseph_Ignaz_von_Ah",47,23,633,3
de.wikipedia.org,"William_Richardson_(Sänger)",3,3,139,0
de.wikipedia.org,"Uddeholm",35,16,347,2
de.wikipedia.org,"Liste_der_denkmalgeschützten_Objekte_in_Hendrichovce",8,6,54,1
de.wikipedia.org,"Alligatorfisch",48,28,235,3
de.wikipedia.org,"Liste_der_Mitglieder_der_National_Academy_of_Sciences/1962",7,4,18,0
de.wikipedia.org,"Schwimmzentrum_Kettwig",20,9,253,0
de.wikipedia.org,"Tonikalisierung",25,4,336,4
de.wikipedia.org,"Dave_Ray",16,11,75,0
de.wikipedia.org,"Siedlung_des_Neuen_Spar-_und_Bauvereins_Milspe",6,4,196,0
de.wikipedia.org,"Gaslicht_(1960)",16,12,369,1
de.wikipedia.org,"Dr._Jekyll_and_Mr._Hyde_(2002)",26,24,763,1
de.wikipedia.org,"Emma-Jaeger-Bad",19,5,277,1
de.wikipedia.org,"Rudolf_Geiger_(Jurist)",32,22,129,0
de.wikipedia.org,"4Backwoods",54,21,294,0
de.wikipedia.org,"Fann-Point_E-Amitié",6,2,337,6
de.wikipedia.org,"Blended_mobility",11,10,448,16
de.wikipedia.org,"Jelsi",9,6,96,1
de.wikipedia.org,"Bushido_(Autobiografie)",161,99,454,10
de.wikipedia.org,"Kara_Monaco",23,14,243,6
de.wikipedia.org,"World_War_Live_–_Battle_of_the_Baltic_Sea",35,19,487,1
de.wikipedia.org,"New_Development_Bank",59,37,311,15
de.wikipedia.org,"Liste_der_Bischöfe_von_Ardagh",6,5,8,0
de.wikipedia.org,"Adolfo_Casais_Monteiro",24,16,329,0
de.wikipedia.org,"Dreifaltigkeitskapelle_(Notzing)",19,11,89,1
de.wikipedia.org,"Reiseroman",48,28,230,0
de.wikipedia.org,"Philoxenos_von_Kythera",43,35,309,3
de.wikipedia.org,"Shin’ya_Nakano",78,34,666,4
de.wikipedia.org,"Brown_County_(Wisconsin)",71,40,287,10
de.wikipedia.org,"Drahtemail",15,11,201,0
de.wikipedia.org,"Nederlandse_Franz_Kafka-Kring",12,7,67,2
de.wikipedia.org,"Georgi_Aramowitsch_Garanjan",16,12,196,1
de.wikipedia.org,"Freddie_Dixon",17,6,377,4
de.wikipedia.org,"Sascha_Ilitsch",26,15,131,2
de.wikipedia.org,"Heavy_Metal_in_Baghdad",27,20,331,3
de.wikipedia.org,"Sigrid_Blömeke",34,23,204,2
de.wikipedia.org,"Marija_Walerjewna_Kossinowa",16,13,217,0
de.wikipedia.org,"Paula_Hawkins",79,66,310,0
de.wikipedia.org,"Liste_der_westdeutschen_Fußballmeister_1903–1933",37,15,336,4
de.wikipedia.org,"Coda_di_Volpe_Bianco",29,13,210,2
de.wikipedia.org,"Kasernenkommandant",36,25,108,0
de.wikipedia.org,"National_Highway_36",5,4,160,0
de.wikipedia.org,"Karakorum_(Gebirge)",521,184,5804,92
de.wikipedia.org,"Coutarnoux",3,3,67,0
fr.wikipedia.org,"Gar_Mangsham_Sumnang",1,1,62,0
fr.wikipedia.org,"Kieron_Freeman",10,7,80,1
fr.wikipedia.org,"Jean-Michel_Boissonnier",22,14,79,0
fr.wikipedia.org,"Marathon_féminin_aux_championnats_du_monde_d'athlétisme_1987",8,6,106,0
fr.wikipedia.org,"Caroline_Bemba",13,7,123,0
fr.wikipedia.org,"Équipe_d'Algérie_de_football_à_la_Coupe_d'Afrique_des_nations_2013",46,23,149,0
fr.wikipedia.org,"Horace",611,297,4227,138
fr.wikipedia.org,"Shinsen_gumi",349,113,2835,3
fr.wikipedia.org,"Le_Choc_amoureux",21,17,295,7
fr.wikipedia.org,"Elizabeth_Cotten",77,41,659,0
fr.wikipedia.org,"Stadium_Arcadium_Tour",51,33,255,0
fr.wikipedia.org,"Michel_Troper",60,49,237,0
fr.wikipedia.org,"Jide_Kosoko",4,3,85,4
fr.wikipedia.org,"(23161)_2000_FS3",2,2,191,28
fr.wikipedia.org,"Carlo_Lurago",29,19,58,0
fr.wikipedia.org,"Reto_Capadrutt",16,10,155,3
fr.wikipedia.org,"Chew_Choon_Eng",6,1,163,0
fr.wikipedia.org,"Vipera_eriwanensis",16,10,123,5
fr.wikipedia.org,"Maison_de_l'Occitanie",40,27,139,0
fr.wikipedia.org,"Dart_18",23,14,173,0
fr.wikipedia.org,"Le_Prince_des_voleurs",38,28,241,0
fr.wikipedia.org,"Jean_de_Mortagne",9,7,104,0
fr.wikipedia.org,"Callaeas",4,3,44,2
fr.wikipedia.org,"Crime_of_the_Century_(chanson)",18,14,138,0
fr.wikipedia.org,"Burmazi_(Berkovići)",16,8,110,7
fr.wikipedia.org,"Yvon_Biefnot",31,18,159,0
fr.wikipedia.org,"Emmanuel-Henri-Joseph_Plon",6,6,152,0
fr.wikipedia.org,"Wan_(peuple)",22,9,64,2
fr.wikipedia.org,"Even_Northug",6,4,145,1
fr.wikipedia.org,"Roger_Nicolas",132,100,596,1
fr.wikipedia.org,"Raymond_II_Amauri",10,4,104,4
fr.wikipedia.org,"Johnny_Speight",25,20,57,0
fr.wikipedia.org,"Antoine_Marie_Paris_d'Illins",46,22,298,0
fr.wikipedia.org,"Échelle_de_dépression_de_Hamilton",23,12,303,21
fr.wikipedia.org,"Río_Margua",12,6,128,4
fr.wikipedia.org,"Michael_Kraus_(handball)",40,33,48,3
fr.wikipedia.org,"María_Luisa_Doig",4,2,124,0
fr.wikipedia.org,"Negrevo",10,9,55,1
fr.wikipedia.org,"Trois,_six,_neuf",29,16,123,1
fr.wikipedia.org,"2006_HX122",16,5,20,3
fr.wikipedia.org,"Raúl_Noriega",5,5,72,0
fr.wikipedia.org,"Chantier_Davie",145,19,959,12
fr.wikipedia.org,"Nourray",83,54,438,9
fr.wikipedia.org,"Giovanni_II_Bentivoglio",60,32,266,2
fr.wikipedia.org,"Musée_dauphinois",294,89,2432,32
fr.wikipedia.org,"Alpos",33,19,197,2
fr.wikipedia.org,"Application_(informatique)",242,98,5075,89
fr.wikipedia.org,"SPAD_S.XI",28,21,472,1
